"AREFNO","Casualty.Class","Casualty.Sex","Casualty.Age","No..of.Casualties","Mode.of.Travel","Accident.Severity","No..of.Vehicles.in.Acc.","Accident.Date","Time","Highway","Road.Type","Speed.Limit","Junction.Detail","Weather","Road.Surface","month","day","hour","Light.Conditions.Banded","ageband"
1190219425,"Driver/Rider","Male",32,1,"Powered 2 Wheeler","Slight",2,"2019-11-19","17:1000","TLRN","Single CWY",40,"No JUN in 20M","Fine","Road-Dry","November","Tuesday",17,"Daylight","30-39"
1190222758,"Driver/Rider","Female",30,1,"Car","Slight",2,"2019-12-04","17:4800","TLRN","Roundabout",30,"Roundabout","Other","Road-Dry","December","Wednesday",17,"Dark","30-39"
1190204157,"Passenger","Male",22,3,"Car","Serious",2,"2019-09-08","21:4000","TLRN","Roundabout",40,"Roundabout","Fine","Road-Dry","September","Sunday",21,"Dark","20-29"
1190171498,"Pedestrian","Male",29,1,"Pedestrian","Slight",1,"2019-03-27","08:1000","BOR","Single CWY",20,"Crossroads","Fine","Road-Dry","March","Wednesday",8,"Daylight","20-29"
1190199318,"Pedestrian","Male",29,1,"Pedestrian","Slight",1,"2019-07-08","09:1100","BOR","Unknown",30,"Other","Other","Other","July","Monday",9,"Daylight","20-29"
1190184019,"Driver/Rider","Male",46,1,"Pedal Cycle","Serious",1,"2019-05-28","17:1500","BOR","Dual CWY",20,"Crossroads","Fine","Road-Dry","May","Tuesday",17,"Daylight","40-49"
1190206015,"Passenger","Female",37,1,"Car","Slight",1,"2019-09-18","00:0000","BOR","Single CWY",20,"No JUN in 20M","Fine","Road-Dry","September","Wednesday",0,"Dark","30-39"
1190168069,"Driver/Rider","Male",25,1,"Powered 2 Wheeler","Serious",2,"2019-03-09","19:1200","TLRN","Roundabout",30,"Roundabout","Fine","Road-Dry","March","Saturday",19,"Dark","20-29"
1190181055,"Pedestrian","Male",50,1,"Pedestrian","Serious",1,"2019-05-15","21:4500","BOR","Dual CWY",30,"T/STAG JUN","Fine","Road-Dry","May","Wednesday",21,"Dark","50-59"
1190193015,"Driver/Rider","Male",33,1,"Powered 2 Wheeler","Slight",2,"2019-07-11","21:5400","BOR","Dual CWY",30,"T/STAG JUN","Fine","Road-Dry","July","Thursday",21,"Dark","30-39"
1190213914,"Driver/Rider","Male",24,1,"Powered 2 Wheeler","Serious",2,"2019-10-25","12:4000","BOR","Single CWY",30,"Crossroads","Fine","Road-Dry","October","Friday",12,"Daylight","20-29"
1190159324,"Pedestrian","Female",17,1,"Pedestrian","Slight",1,"2019-01-24","12:2000","TLRN","Single CWY",30,"T/STAG JUN","Fine","Road-Wet","January","Thursday",12,"Daylight","10-19"
1190207109,"Driver/Rider","Male",52,1,"Powered 2 Wheeler","Slight",2,"2019-09-23","10:0000","TLRN","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","September","Monday",10,"Daylight","50-59"
1190195491,"Passenger","Female",9,3,"Car","Slight",3,"2019-07-23","15:5900","TLRN","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","July","Tuesday",15,"Daylight","0-9"
1190190648,"Driver/Rider","Male",31,1,"Powered 2 Wheeler","Slight",2,"2019-06-30","19:0000","TLRN","Single CWY",20,"T/STAG JUN","Fine","Road-Dry","June","Sunday",19,"Daylight","30-39"
1190212832,"Driver/Rider","Male",31,1,"Car","Slight",2,"2019-10-19","18:3500","TLRN","Slip RD",30,"No JUN in 20M","Fine","Road-Dry","October","Saturday",18,"Daylight","30-39"
1190215340,"Driver/Rider","Male",20,2,"Car","Slight",2,"2019-10-31","21:3000","BOR","Single CWY",30,"Other","Other","Road-Dry","October","Thursday",21,"Dark","20-29"
1190205890,"Driver/Rider","Male",37,3,"Car","Slight",2,"2019-09-17","08:5100","BOR","Single CWY",20,"Other","Fine","Road-Dry","September","Tuesday",8,"Daylight","30-39"
1190203140,"Driver/Rider","Female",81,1,"Car","Serious",2,"2019-09-03","15:0000","BOR","Single CWY",30,"No JUN in 20M","Fine","Road-Dry","September","Tuesday",15,"Daylight","80-89"
1190205312,"Driver/Rider","Male",44,1,"Powered 2 Wheeler","Slight",2,"2019-09-14","10:5000","BOR","Single CWY",30,"T/STAG JUN","Fine","Road-Wet","September","Saturday",10,"Daylight","40-49"
1190195444,"Driver/Rider","Male",34,1,"Car","Slight",2,"2019-07-20","23:2000","BOR","Single CWY",30,"Other","Fine","Road-Dry","July","Saturday",23,"Dark","30-39"
1190198735,"Driver/Rider","Female",17,2,"Car","Slight",3,"2019-08-09","17:2900","BOR","Single CWY",30,"No JUN in 20M","Fine","Road-Dry","August","Friday",17,"Daylight","10-19"
1190214572,"Driver/Rider","Male",51,1,"Pedal Cycle","Slight",2,"2019-10-28","07:4500","BOR","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","October","Monday",7,"Daylight","50-59"
1190175779,"Driver/Rider","Female",26,1,"Pedal Cycle","Serious",2,"2019-04-18","09:2000","BOR","Single CWY",20,"T/STAG JUN","Fine","Road-Dry","April","Thursday",9,"Daylight","20-29"
1190177442,"Driver/Rider","Female",19,2,"Car","Slight",2,"2019-04-27","12:1500","TLRN","Dual CWY",30,"No JUN in 20M","Fine","Road-Dry","April","Saturday",12,"Daylight","10-19"
1190155454,"Driver/Rider","Male",49,2,"Car","Slight",4,"2019-01-02","18:3800","TLRN","One-way ST",30,"Other","Fine","Road-Dry","January","Wednesday",18,"Dark","40-49"
1190203503,"Pedestrian","Female",17,1,"Pedestrian","Slight",1,"2019-09-05","12:3400","TLRN","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","September","Thursday",12,"Daylight","10-19"
1190192264,"Driver/Rider","Male",20,1,"Powered 2 Wheeler","Serious",2,"2019-07-07","20:1500","BOR","Single CWY",20,"T/STAG JUN","Fine","Road-Dry","July","Sunday",20,"Daylight","20-29"
1190214217,"Driver/Rider","Male",21,2,"Car","Serious",1,"2019-10-26","15:5400","BOR","Dual CWY",30,"T/STAG JUN","Raining","Road-Wet","October","Saturday",15,"Daylight","20-29"
1190192461,"Driver/Rider","Male",28,1,"Pedal Cycle","Slight",2,"2019-07-04","07:4000","TLRN","Single CWY",30,"Crossroads","Fine","Road-Dry","July","Thursday",7,"Daylight","20-29"
1190199061,"Driver/Rider","Female",57,3,"Car","Serious",2,"2019-08-10","21:0100","BOR","Single CWY",30,"Other","Fine","Road-Dry","August","Saturday",21,"Dark","50-59"
1190191251,"Driver/Rider","Female",34,1,"Powered 2 Wheeler","Slight",2,"2019-07-03","14:3800","BOR","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","July","Wednesday",14,"Daylight","30-39"
1190198926,"Driver/Rider","Male",53,1,"Other Vehicle","Slight",2,"2019-08-10","21:0000","TLRN","Single CWY",30,"No JUN in 20M","Fine","Road-Dry","August","Saturday",21,"Dark","50-59"
1190171012,"Driver/Rider","Male",19,1,"Powered 2 Wheeler","Serious",2,"2019-03-12","20:1000","BOR","Unknown",30,"T/STAG JUN","Fine","Road-Dry","March","Tuesday",20,"Dark","10-19"
1190219363,"Driver/Rider","Male",24,1,"Powered 2 Wheeler","Slight",2,"2019-11-16","20:2500","BOR","Single CWY",20,"Crossroads","Fine","Road-Dry","November","Saturday",20,"Dark","20-29"
1190210194,"Driver/Rider","Male",24,1,"Powered 2 Wheeler","Serious",2,"2019-10-07","22:1800","TLRN","Dual CWY",20,"T/STAG JUN","Raining","Road-Wet","October","Monday",22,"Dark","20-29"
1190187673,"Pedestrian","Male",31,1,"Pedestrian","Serious",1,"2019-06-16","22:3300","BOR","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","June","Sunday",22,"Dark","30-39"
1190162165,"Driver/Rider","Male",38,1,"Powered 2 Wheeler","Serious",2,"2019-02-08","10:0000","BOR","Single CWY",30,"T/STAG JUN","Other","Road-Wet","February","Friday",10,"Dark","30-39"
1190158789,"Driver/Rider","Male",31,1,"Powered 2 Wheeler","Slight",2,"2019-01-21","16:5300","TLRN","Single CWY",30,"No JUN in 20M","Fine","Road-Dry","January","Monday",16,"Dark","30-39"
1190160852,"Passenger","Female",15,2,"Car","Serious",2,"2019-02-01","08:1500","BOR","Dual CWY",30,"T/STAG JUN","Other","Other","February","Friday",8,"Daylight","10-19"
1190214942,"Pedestrian","Female",13,3,"Pedestrian","Serious",1,"2019-10-30","08:2700","BOR","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","October","Wednesday",8,"Daylight","10-19"
1190218394,"Passenger","Female",16,2,"Bus or Coach","Slight",2,"2019-11-14","18:5200","BOR","Single CWY",30,"Other","Fine","Road-Wet","November","Thursday",18,"Dark","10-19"
1190157085,"Driver/Rider","Male",24,2,"Car","Slight",2,"2019-01-12","11:3500","BOR","Single CWY",30,"Crossroads","Fine","Road-Dry","January","Saturday",11,"Daylight","20-29"
1190189474,"Pedestrian","Male",51,1,"Pedestrian","Serious",1,"2019-06-25","14:3000","BOR","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","June","Tuesday",14,"Daylight","50-59"
1190198895,"Driver/Rider","Male",39,2,"Car","Serious",2,"2019-08-09","20:4400","BOR","Single CWY",30,"Crossroads","Fine","Road-Dry","August","Friday",20,"Dark","30-39"
1190199303,"Pedestrian","Female",26,1,"Pedestrian","Slight",1,"2019-08-13","14:3800","BOR","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","August","Tuesday",14,"Daylight","20-29"
1190180462,"Driver/Rider","Male",64,1,"Car","Slight",2,"2019-05-12","20:1400","BOR","Roundabout",20,"Roundabout","Fine","Road-Dry","May","Sunday",20,"Dark","60-69"
