"AREFNO","Casualty.Class","Casualty.Sex","Casualty.Age","No..of.Casualties","Mode.of.Travel","Accident.Severity","No..of.Vehicles.in.Acc.","Accident.Date","Time","Highway","Road.Type","Speed.Limit","Junction.Detail","Weather","Road.Surface","month","day","hour","Light.Conditions.Banded","ageband"
1190162365,"Driver/Rider","Male",35,1,"Powered 2 Wheeler","Slight",2,"2019-02-08","19:2800","BOR","Dual CWY",30,"T/STAG JUN","Raining","Road-Wet","February","Friday",19,"Dark","30-39"
1190176060,"Driver/Rider","Male",29,1,"Powered 2 Wheeler","Slight",2,"2019-04-19","23:2800","TLRN","Single CWY",30,"No JUN in 20M","Fine","Road-Dry","April","Friday",23,"Dark","20-29"
1190178412,"Driver/Rider","Female",22,1,"Car","Slight",1,"2019-03-30","12:4000","TLRN","Single CWY",30,"Crossroads","Other","Other","March","Saturday",12,"Daylight","20-29"
1190215951,"Driver/Rider","Female",27,1,"Car","Slight",2,"2019-10-23","15:3000","BOR","Single CWY",30,"Other","Fine","Road-Wet","October","Wednesday",15,"Daylight","20-29"
1190197085,"Driver/Rider","Male",52,1,"Car","Slight",2,"2019-06-18","07:0000","TLRN","Single CWY",30,"T/STAG JUN","Other","Road-Dry","June","Tuesday",7,"Daylight","50-59"
1190188645,"Pedestrian","Male",50,1,"Pedestrian","Slight",1,"2019-06-21","11:2000","TLRN","Single CWY",20,"No JUN in 20M","Fine","Road-Dry","June","Friday",11,"Daylight","50-59"
1190183122,"Pedestrian","Male",48,1,"Pedestrian","Slight",1,"2019-05-25","00:4500","BOR","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","May","Saturday",0,"Dark","40-49"
1190219363,"Driver/Rider","Male",24,1,"Powered 2 Wheeler","Slight",2,"2019-11-16","20:2500","BOR","Single CWY",20,"Crossroads","Fine","Road-Dry","November","Saturday",20,"Dark","20-29"
1190202918,"Driver/Rider","Male",29,1,"Pedal Cycle","Slight",2,"2019-08-29","13:0000","BOR","Single CWY",20,"Crossroads","Fine","Road-Dry","August","Thursday",13,"Daylight","20-29"
1190212196,"Driver/Rider","Male",32,1,"Powered 2 Wheeler","Serious",2,"2019-10-16","17:3000","BOR","Dual CWY",30,"T/STAG JUN","Fine","Road-Dry","October","Wednesday",17,"Daylight","30-39"
1190207720,"Driver/Rider","Male",24,1,"Powered 2 Wheeler","Slight",2,"2019-09-25","18:5800","BOR","Single CWY",30,"No JUN in 20M","Fine","Road-Dry","September","Wednesday",18,"Dark","20-29"
1190226159,"Driver/Rider","Male",32,1,"Pedal Cycle","Slight",2,"2019-12-19","18:3000","TLRN","Dual CWY",30,"Crossroads","Raining","Road-Wet","December","Thursday",18,"Dark","30-39"
1190160442,"Driver/Rider","Male",28,1,"Car","Serious",2,"2019-01-21","07:3000","TLRN","Unknown",30,"Other","Other","Other","January","Monday",7,"Daylight","20-29"
1190195283,"Driver/Rider","Female",30,6,"Car","Slight",2,"2019-07-22","23:3600","TLRN","Dual CWY",40,"No JUN in 20M","Fine","Road-Dry","July","Monday",23,"Dark","30-39"
1190158417,"Driver/Rider","Male",39,1,"Pedal Cycle","Slight",2,"2019-01-19","20:2400","BOR","Single CWY",20,"T/STAG JUN","Fine","Road-Dry","January","Saturday",20,"Dark","30-39"
1190205221,"Pedestrian","Female",67,2,"Pedestrian","Slight",1,"2019-09-13","20:1500","TLRN","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","September","Friday",20,"Dark","60-69"
1190223042,"Driver/Rider","Male",31,1,"Car","Slight",5,"2019-12-05","14:1800","BOR","One-way ST",20,"T/STAG JUN","Fine","Road-Dry","December","Thursday",14,"Daylight","30-39"
1190226368,"Pedestrian","Male",30,1,"Pedestrian","Slight",1,"2019-12-20","07:3000","BOR","Single CWY",30,"T/STAG JUN","Raining","Road-Wet","December","Friday",7,"Daylight","30-39"
1190181603,"Pedestrian","Female",52,1,"Pedestrian","Slight",1,"2019-05-17","22:1000","BOR","Single CWY",20,"T/STAG JUN","Raining","Road-Wet","May","Friday",22,"Dark","50-59"
1190170580,"Driver/Rider","Female",20,1,"Car","Slight",2,"2019-03-22","12:0800","BOR","Single CWY",30,"No JUN in 20M","Fine","Road-Dry","March","Friday",12,"Daylight","20-29"
1190225245,"Driver/Rider","Male",50,1,"Car","Slight",1,"2019-12-15","18:5000","TLRN","Roundabout",30,"Roundabout","Raining","Road-Dry","December","Sunday",18,"Dark","50-59"
1190200188,"Driver/Rider","Male",34,1,"Car","Slight",2,"2019-08-18","12:2000","TLRN","Single CWY",30,"Crossroads","Fine","Road-Dry","August","Sunday",12,"Daylight","30-39"
1190222506,"Driver/Rider","Male",53,6,"Car","Slight",2,"2019-10-19","13:0600","BOR","Single CWY",20,"Other","Fine","Road-Dry","October","Saturday",13,"Daylight","50-59"
1190227131,"Pedestrian","Female",54,1,"Pedestrian","Slight",1,"2019-12-24","21:0000","BOR","Single CWY",30,"No JUN in 20M","Fine","Road-Wet","December","Tuesday",21,"Dark","50-59"
1190221207,"Driver/Rider","Male",39,1,"Powered 2 Wheeler","Slight",2,"2019-11-27","20:2000","BOR","Single CWY",20,"Crossroads","Raining","Road-Wet","November","Wednesday",20,"Dark","30-39"
1190171064,"Driver/Rider","Male",33,1,"Powered 2 Wheeler","Slight",2,"2019-03-24","20:0500","BOR","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","March","Sunday",20,"Dark","30-39"
1190164155,"Pedestrian","Male",30,1,"Pedestrian","Serious",1,"2019-04-24","20:0000","BOR","Single CWY",30,"Crossroads","Fine","Road-Dry","April","Wednesday",20,"Dark","30-39"
1190170826,"Driver/Rider","Female",43,1,"Car","Slight",2,"2019-03-23","19:2200","TLRN","Single CWY",30,"Crossroads","Fine","Road-Dry","March","Saturday",19,"Dark","40-49"
1190180750,"Driver/Rider","Female",20,1,"Car","Slight",2,"2019-05-10","07:0500","BOR","Roundabout",30,"Roundabout","Fine","Road-Dry","May","Friday",7,"Daylight","20-29"
1190192115,"Driver/Rider","Male",29,2,"Powered 2 Wheeler","Serious",2,"2019-07-07","18:1800","BOR","Single CWY",20,"No JUN in 20M","Fine","Road-Dry","July","Sunday",18,"Daylight","20-29"
1190158170,"Driver/Rider","Male",40,1,"Powered 2 Wheeler","Slight",2,"2019-01-18","07:5000","BOR","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","January","Friday",7,"Daylight","40-49"
1190223095,"Driver/Rider","Male",39,1,"Powered 2 Wheeler","Slight",2,"2019-12-05","16:1500","TLRN","Single CWY",30,"No JUN in 20M","Fine","Road-Dry","December","Thursday",16,"Daylight","30-39"
1190189594,"Pedestrian","Male",15,1,"Pedestrian","Slight",1,"2019-06-25","16:3000","BOR","Single CWY",30,"No JUN in 20M","Fine","Road-Dry","June","Tuesday",16,"Daylight","10-19"
1190190871,"Driver/Rider","Male",55,2,"Car","Slight",4,"2019-07-01","18:4000","BOR","Single CWY",40,"Crossroads","Fine","Road-Dry","July","Monday",18,"Daylight","50-59"
1190218150,"Driver/Rider","Male",31,1,"Powered 2 Wheeler","Serious",2,"2019-11-13","19:3000","BOR","Single CWY",30,"T/STAG JUN","Raining","Road-Wet","November","Wednesday",19,"Dark","30-39"
1190206355,"Driver/Rider","Male",40,2,"Car","Slight",2,"2019-09-19","12:5500","TLRN","Single CWY",30,"Crossroads","Fine","Road-Dry","September","Thursday",12,"Daylight","40-49"
1190214252,"Pedestrian","Male",40,1,"Pedestrian","Serious",1,"2019-10-26","21:3500","BOR","Single CWY",30,"Other","Fine","Road-Wet","October","Saturday",21,"Dark","40-49"
1190219754,"Driver/Rider","Male",24,2,"Powered 2 Wheeler","Slight",3,"2019-11-21","01:5000","TLRN","Dual CWY",30,"No JUN in 20M","Fine","Road-Dry","November","Thursday",1,"Dark","20-29"
1190174681,"Driver/Rider","Male",21,1,"Car","Slight",2,"2019-04-11","20:5800","BOR","Single CWY",20,"Crossroads","Fine","Road-Dry","April","Thursday",20,"Dark","20-29"
1190164700,"Driver/Rider","Male",27,2,"Car","Slight",1,"2019-02-20","04:1000","BOR","Single CWY",20,"T/STAG JUN","Other","Road-Dry","February","Wednesday",4,"Daylight","20-29"
1190197057,"Driver/Rider","Male",28,1,"Pedal Cycle","Slight",2,"2019-07-31","18:3200","TLRN","Dual CWY",30,"T/STAG JUN","Fine","Road-Dry","July","Wednesday",18,"Daylight","20-29"
1190205443,"Driver/Rider","Male",28,1,"Pedal Cycle","Serious",2,"2019-09-15","07:1000","TLRN","Dual CWY",30,"No JUN in 20M","Fine","Road-Dry","September","Sunday",7,"Daylight","20-29"
1190157567,"Driver/Rider","Male",42,2,"Powered 2 Wheeler","Slight",2,"2019-01-15","08:4200","TLRN","Single CWY",30,"Other","Fine","Road-Dry","January","Tuesday",8,"Daylight","40-49"
1190210778,"Driver/Rider","Female",44,1,"Pedal Cycle","Slight",1,"2019-10-10","14:0000","BOR","Single CWY",30,"Other","Other","Road-Dry","October","Thursday",14,"Daylight","40-49"
1190159441,"Driver/Rider","Male",55,2,"Car","Slight",3,"2019-01-24","21:0000","BOR","Single CWY",20,"Other","Fine","Road-Dry","January","Thursday",21,"Dark","50-59"
1190177686,"Driver/Rider","Female",30,1,"Car","Slight",1,"2019-04-28","18:2400","TLRN","Dual CWY",40,"Crossroads","Other","Road-Dry","April","Sunday",18,"Daylight","30-39"
1190193826,"Driver/Rider","Male",33,1,"Goods Vehicle","Slight",2,"2019-07-05","14:1200","BOR","Roundabout",30,"No JUN in 20M","Fine","Road-Dry","July","Friday",14,"Daylight","30-39"
1190197076,"Driver/Rider","Female",55,1,"Car","Slight",2,"2019-07-30","14:3000","BOR","Single CWY",30,"T/STAG JUN","Raining","Road-Wet","July","Tuesday",14,"Daylight","50-59"
1190158657,"Pedestrian","Male",45,1,"Pedestrian","Slight",1,"2019-01-21","12:4500","BOR","Slip RD",20,"Other","Fine","Road-Dry","January","Monday",12,"Daylight","40-49"
1190196077,"Driver/Rider","Male",21,1,"Powered 2 Wheeler","Slight",2,"2019-07-12","13:3000","BOR","Single CWY",20,"Other","Fine","Road-Dry","July","Friday",13,"Daylight","20-29"
1190187619,"Driver/Rider","Female",39,1,"Car","Slight",1,"2019-06-16","18:4000","BOR","Dual CWY",50,"No JUN in 20M","Fine","Road-Dry","June","Sunday",18,"Daylight","30-39"
1190188023,"Pedestrian","Male",84,1,"Pedestrian","Slight",1,"2019-06-18","17:0500","BOR","Single CWY",20,"T/STAG JUN","Fine","Road-Dry","June","Tuesday",17,"Daylight","80-89"
1190205763,"Passenger","Male",61,3,"Car","Slight",2,"2019-09-16","19:4500","BOR","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","September","Monday",19,"Dark","60-69"
1190169685,"Driver/Rider","Male",25,1,"Powered 2 Wheeler","Serious",2,"2019-03-17","20:0000","BOR","Single CWY",30,"No JUN in 20M","Fine","Road-Dry","March","Sunday",20,"Dark","20-29"
1190172511,"Pedestrian","Female",15,1,"Pedestrian","Slight",1,"2019-04-01","09:0000","BOR","Unknown",20,"No JUN in 20M","Fine","Road-Dry","April","Monday",9,"Daylight","10-19"
1190162884,"Driver/Rider","Female",21,1,"Car","Slight",2,"2019-02-11","23:1100","BOR","Single CWY",30,"Crossroads","Fine","Road-Dry","February","Monday",23,"Dark","20-29"
1190192240,"Passenger","Male",51,3,"Car","Slight",2,"2019-07-08","13:0000","TLRN","Slip RD",30,"Other","Fine","Road-Dry","July","Monday",13,"Daylight","50-59"
1190166901,"Passenger","Female",29,1,"Car","Slight",2,"2019-03-04","09:3500","BOR","Dual CWY",30,"No JUN in 20M","Fine","Road-Dry","March","Monday",9,"Daylight","20-29"
1190208712,"Pedestrian","Female",25,1,"Pedestrian","Slight",1,"2019-10-01","01:1500","BOR","Single CWY",30,"No JUN in 20M","Raining","Road-Wet","October","Tuesday",1,"Dark","20-29"
1190223276,"Pedestrian","Male",18,1,"Pedestrian","Slight",1,"2019-12-05","18:1500","BOR","One-way ST",20,"T/STAG JUN","Fine","Road-Dry","December","Thursday",18,"Dark","10-19"
1190192919,"Driver/Rider","Female",28,1,"Car","Slight",2,"2019-07-11","13:2000","BOR","Single CWY",20,"T/STAG JUN","Fine","Road-Dry","July","Thursday",13,"Daylight","20-29"
1190162028,"Pedestrian","Female",38,1,"Pedestrian","Slight",1,"2019-02-07","08:4400","BOR","Single CWY",30,"Other","Fine","Road-Dry","February","Thursday",8,"Daylight","30-39"
1190192799,"Driver/Rider","Male",43,1,"Pedal Cycle","Serious",2,"2019-07-10","09:3000","TLRN","Single CWY",30,"No JUN in 20M","Fine","Road-Dry","July","Wednesday",9,"Daylight","40-49"
1190160232,"Driver/Rider","Male",51,1,"Powered 2 Wheeler","Slight",3,"2019-01-29","09:1500","BOR","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","January","Tuesday",9,"Daylight","50-59"
1190180505,"Driver/Rider","Male",32,1,"Car","Slight",2,"2019-05-13","06:1000","BOR","Single CWY",30,"Crossroads","Fine","Road-Dry","May","Monday",6,"Daylight","30-39"
1190209805,"Driver/Rider","Male",39,1,"Powered 2 Wheeler","Slight",2,"2019-10-05","19:5500","TLRN","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","October","Saturday",19,"Dark","30-39"
1190190583,"Pedestrian","Female",45,1,"Pedestrian","Slight",1,"2019-06-29","18:3500","TLRN","Dual CWY",40,"T/STAG JUN","Fine","Road-Dry","June","Saturday",18,"Daylight","40-49"
1190221713,"Driver/Rider","Female",40,1,"Car","Slight",2,"2019-11-29","15:2500","BOR","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","November","Friday",15,"Daylight","40-49"
1190205232,"Driver/Rider","Male",21,1,"Car","Slight",2,"2019-09-13","18:1600","BOR","Single CWY",30,"Crossroads","Fine","Road-Dry","September","Friday",18,"Daylight","20-29"
